gene	species	cys_position	oxidation_type	accession	observed_residue	status	source	source_note
AT1G02130	arabidopsis	23	s-nitrosylation	P28188	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G02140	arabidopsis	114	s-nitrosylation	O23676	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G02305	arabidopsis	331	s-nitrosylation	Q93VC9	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G02500	arabidopsis	31	s-nitrosylation	P23686	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G02560	arabidopsis	127	s-nitrosylation	Q9S834	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G02690	arabidopsis	233	s-nitrosylation	F4HXL3	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G02880	arabidopsis	180	s-nitrosylation	A0A1P8ARA0	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G03030	arabidopsis	70	s-nitrosylation	A0A1P8AMF1	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G03090	arabidopsis	513	s-nitrosylation	Q42523	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G03160	arabidopsis	236	s-nitrosylation	A0A1P8AUL2	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G03220	arabidopsis	203	s-nitrosylation	Q7ET10	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G03310	arabidopsis	151	s-nitrosylation	Q8L735	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G03475	arabidopsis	96	s-nitrosylation	Q9LR75	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G03630	arabidopsis	121	s-nitrosylation	O48741	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G03680	arabidopsis	107	s-nitrosylation	O48737	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G03900	arabidopsis	38	s-nitrosylation	C0Z2Q7	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G04170	arabidopsis	107	s-nitrosylation	O64490	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G04190	arabidopsis	91	s-nitrosylation	F4I464	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G04220	arabidopsis	409	s-nitrosylation	Q5XEP9	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G04280	arabidopsis	473	s-nitrosylation	Q0WUY1	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G04350	arabidopsis	38	s-nitrosylation	P93824	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G04410	arabidopsis	79	s-nitrosylation	P93819	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G04420	arabidopsis	101	s-nitrosylation	F4I491	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G04430	arabidopsis	87	s-nitrosylation	Q940J9	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G04480	arabidopsis	28	s-nitrosylation	P49690	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G04510	arabidopsis	3	s-nitrosylation	F4I5P3	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G04530	arabidopsis	162	s-nitrosylation	F4I5P6	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G04620	arabidopsis	80	s-nitrosylation	Q8GS60	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G04640	arabidopsis	178	s-nitrosylation	Q9SXP7	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G04680	arabidopsis	423	s-nitrosylation	Q940Q1	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G04690	arabidopsis	121	s-nitrosylation	O23016	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G04710	arabidopsis	130	s-nitrosylation	Q8LF48	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G04810	arabidopsis	161	s-nitrosylation	Q9MAT0	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G04850	arabidopsis	371	s-nitrosylation	Q7ES33	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G04870	arabidopsis	363	s-nitrosylation	Q9MAT5	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G04900	arabidopsis	141	s-nitrosylation	F4I760	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G04980	arabidopsis	225	s-nitrosylation	Q9MAU6	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G05010	arabidopsis	133	s-nitrosylation	Q06588	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G05150	arabidopsis	340	s-nitrosylation	O23052	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G05180	arabidopsis	101	s-nitrosylation	C0Z261	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G05350	arabidopsis	194	s-nitrosylation	O23034	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G05500	arabidopsis	191	s-nitrosylation	Q8L706	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G05520	arabidopsis	314	s-nitrosylation	Q8H0S3	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G05560	arabidopsis	457	s-nitrosylation	A0A1P8AP70	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G05680	arabidopsis	206	s-nitrosylation	Q9SYK9	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G06130	arabidopsis	213	s-nitrosylation	Q8LDW8	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G06200	arabidopsis	203	s-nitrosylation	A0A1P8AQV9	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G06220	arabidopsis	688	s-nitrosylation	Q0WW67	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G06290	arabidopsis	185	s-nitrosylation	P0CZ23	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G06410	arabidopsis	148	s-nitrosylation	Q9LMI0	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G06430	arabidopsis	314	s-nitrosylation	Q8W585	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G06570	arabidopsis	416	s-nitrosylation	P93836	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G06690	arabidopsis	252	s-nitrosylation	Q94A68	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G06950	arabidopsis	501	s-nitrosylation	Q8LPR9	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G07040	arabidopsis	110	s-nitrosylation	Q9LMJ7	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G07080	arabidopsis	125	s-nitrosylation	F4HNX0	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G07110	arabidopsis	177	s-nitrosylation	Q9MB58	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G07140	arabidopsis	98	s-nitrosylation	Q9LMK7	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G07240	arabidopsis	469	s-nitrosylation	Q9FE68	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G07250	arabidopsis	312	s-nitrosylation	Q9LML6	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G07370	arabidopsis	81	s-nitrosylation	Q9M7Q7	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G07410	arabidopsis	38	s-nitrosylation	Q9LNW1	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G07440	arabidopsis	54	s-nitrosylation	F4HQN3	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G07510	arabidopsis	543	s-nitrosylation	Q8VZI8	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G07670	arabidopsis	447	s-nitrosylation	A0A076	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G07750	arabidopsis	25	s-nitrosylation	Q7DYL2	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G07770	arabidopsis	72	s-nitrosylation	A0A178W5N5	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G07780	arabidopsis	186	s-nitrosylation	A0A1P8ATU6	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G07810	arabidopsis	34	s-nitrosylation	P92939	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G07890	arabidopsis	32	s-nitrosylation	F4HU93	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G07940	arabidopsis	87	s-nitrosylation	P0DH99	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G08200	arabidopsis	140	s-nitrosylation	Q9SGE0	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G08250	arabidopsis	224	s-nitrosylation	Q9SGD6	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G08360	arabidopsis	65	s-nitrosylation	Q8VZB9	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G08370	arabidopsis	123	s-nitrosylation	Q9SJF3	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G08420	arabidopsis	106	s-nitrosylation	B9DFZ9	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G08450	arabidopsis	114	s-nitrosylation	F4HW29	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G08490	arabidopsis	251	s-nitrosylation	Q93WX6	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G08520	arabidopsis	309	s-nitrosylation	Q9SJE1	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G08550	arabidopsis	231	s-nitrosylation	B9DGR5	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G08830	arabidopsis	101	s-nitrosylation	P24704	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G08980	arabidopsis	213	s-nitrosylation	Q9FR37	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G09010	arabidopsis	188	s-nitrosylation	Q75W54	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G09100	arabidopsis	224	s-nitrosylation	O04019	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G09150	arabidopsis	6	s-nitrosylation	F4HZE5	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G09210	arabidopsis	108	s-nitrosylation	Q38858	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G09270	arabidopsis	199	s-nitrosylation	O80480	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G09290	arabidopsis	265	s-nitrosylation	F4HZG8	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G09300	arabidopsis	104	s-nitrosylation	F4HZG9	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G09310	arabidopsis	21	s-nitrosylation	C0Z2C6	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G09340	arabidopsis	162	s-nitrosylation	A0A1P8ATL2	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G09430	arabidopsis	163	s-nitrosylation	O80526	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G09490	arabidopsis	114	s-nitrosylation	O80532	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G09620	arabidopsis	36	s-nitrosylation	F4I116	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G09630	arabidopsis	38	s-nitrosylation	O04486	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G09640	arabidopsis	343	s-nitrosylation	B9DHI9	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G09740	arabidopsis	98	s-nitrosylation	A0A1P8AR53	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G09750	arabidopsis	405	s-nitrosylation	O04496	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G09770	arabidopsis	107	s-nitrosylation	P92948	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
AT1G09780	arabidopsis	39	s-nitrosylation	O04499	C	verified	PMC12454217 MOESM2 (S-nitrosylation column)	Novel proteomics workflow paper; TAIR locus -> UniProt mapped, coordinate-verified in registered proteome v2
